Voter,Movie,Pick
Nuri Bilge Ceylan,No Country for Old Men,2
Nuri Bilge Ceylan,"Oslo, August 31st",3
Nuri Bilge Ceylan,Outside Satan,4
Nuri Bilge Ceylan,Silent Light,5
Nuri Bilge Ceylan,The Death of Mr. Lazarescu,6
Nuri Bilge Ceylan,The Turin Horse,7
Nuri Bilge Ceylan,Uncle Boonmee Who Can Recall His Past Lives,8
Nuri Bilge Ceylan,Unknown Pleasures,9
Nuri Bilge Ceylan,Zama,10
Jemaine Clement,A Girl Walks Home Alone at Night,1
Jemaine Clement,Hunt for the Wilderpeople,2
Jemaine Clement,Inglourious Basterds,3
Jemaine Clement,Let the Right One In,4
Jemaine Clement,Mirai,5
Jemaine Clement,Pan's Labyrinth,6
Jemaine Clement,Spirited Away,7
Jemaine Clement,The Boy and the Beast,8
Jemaine Clement,The Boy and the Heron,9
Jemaine Clement,The Royal Tenenbaums,10
Gia Coppola,Behind the Candelabra,1
Gia Coppola,"Bloody Nose, Empty Pockets",2
Gia Coppola,Fish Tank,3
Gia Coppola,Frances Ha,4
Gia Coppola,Pineapple Express,5
Gia Coppola,Senna,6
Gia Coppola,Spirited Away,7
Gia Coppola,Tangerine,8
Gia Coppola,The Social Network,9
Gia Coppola,The Virgin Suicides,10
Julie Dash,Amores Perros,1
Julie Dash,Capernaum,2
Julie Dash,Carlos,3
Julie Dash,City of God,4
Julie Dash,"Crouching Tiger, Hidden Dragon",5
Julie Dash,In the Mood for Love,6
Julie Dash,Nickel Boys,7
Julie Dash,The Lives of Others,8
Julie Dash,The Royal Tenenbaums,9
Julie Dash,The Woman King,10
Sean Evans,Django Unchained,1
Sean Evans,Gangs of New York,2
Sean Evans,Gladiator,3
Sean Evans,Hereditary,4
Sean Evans,Mad Max: Fury Road,5
Sean Evans,No Country for Old Men,6
Sean Evans,Superbad,7
Sean Evans,Team America: World Police,8
Sean Evans,The Dark Knight,9
Sean Evans,The Wolf of Wall Street,10
Jomo Fray,Dune: Part One,1
Jomo Fray,Force Majeure,2
Jomo Fray,"Hale County This Morning, This Evening",3
Jomo Fray,Holy Motors,4
Jomo Fray,Hunger,5
Jomo Fray,In the Mood for Love,6
Jomo Fray,Mad Max: Fury Road,7
Jomo Fray,The Tree of Life,8
Jomo Fray,The Zone of Interest,9
Jomo Fray,You Were Never Really Here,10
Cary Joji Fukunaga,City of God,1
Cary Joji Fukunaga,Let the Right One In,2
Cary Joji Fukunaga,Master and Commander: The Far Side of the World,3
Cary Joji Fukunaga,Memories of Murder,4
Cary Joji Fukunaga,No Country for Old Men,5
Cary Joji Fukunaga,Nobody Knows,6
Cary Joji Fukunaga,Sexy Beast,7
Cary Joji Fukunaga,Sicario,8
Cary Joji Fukunaga,The Master,9
Cary Joji Fukunaga,Y tu mamá también,10
Ziwe Fumudoh,Children of Men,1
Ziwe Fumudoh,Get Out,2
Ziwe Fumudoh,I Am Not Your Negro,3
Ziwe Fumudoh,Incredibles 2,4
Ziwe Fumudoh,Mad Max: Fury Road,5
Ziwe Fumudoh,Paddington 2,6
Ziwe Fumudoh,Parasite,7
Ziwe Fumudoh,Shrek 2,8
Ziwe Fumudoh,The Zone of Interest,9
Ziwe Fumudoh,Train to Busan,10
Richard Gadd,City of God,1
Richard Gadd,Dead Man's Shoes,2
Richard Gadd,Man on Wire,3
Richard Gadd,Memories of Murder,4
Richard Gadd,No Country for Old Men,5
Richard Gadd,O.J.: Made in America,6
Richard Gadd,Oldboy,7
Richard Gadd,Requiem for a Dream,8
Richard Gadd,The Wolf of Wall Street,9
Richard Gadd,There Will Be Blood,10
Reinaldo Marcus Green,A Separation,1
Reinaldo Marcus Green,Amores Perros,2
Reinaldo Marcus Green,Eternal Sunshine of the Spotless Mind,3
Reinaldo Marcus Green,Her,4
Reinaldo Marcus Green,Moneyball,5
Reinaldo Marcus Green,Moonlight,6
Reinaldo Marcus Green,Parasite,7
Reinaldo Marcus Green,Spirited Away,8
Reinaldo Marcus Green,The Social Network,9
Reinaldo Marcus Green,There Will Be Blood,10
Tony Hale,Best in Show,1
Tony Hale,Birdman or (The Unexpected Virtue of Ignorance),2
Tony Hale,Bridesmaids,3
Tony Hale,Get Out,4
Tony Hale,Her,5
Tony Hale,Inside Out,6
Tony Hale,Lars and the Real Girl,7
Tony Hale,Punch-Drunk Love,8
Tony Hale,The Grand Budapest Hotel,9
Tony Hale,The Lord of the Rings: The Fellowship of the Ring,10
William Jackson Harper,Birdman or (The Unexpected Virtue of Ignorance),1
William Jackson Harper,City of God,2
William Jackson Harper,District 9,3
William Jackson Harper,Fruitvale Station,4
William Jackson Harper,Minari,5
William Jackson Harper,O.J.: Made in America,6
William Jackson Harper,The Favourite,7
William Jackson Harper,The Forty-Year-Old Version,8
William Jackson Harper,This Is England,9
William Jackson Harper,Uncut Gems,10
Naomie Harris,Anora,1
Naomie Harris,Behind the Candelabra,2
Naomie Harris,Call Me by Your Name,3
Naomie Harris,Emilia Pérez,4
Naomie Harris,Get Out,5
Naomie Harris,Moonlight,6
Naomie Harris,Parasite,7
Naomie Harris,Past Lives,8
Naomie Harris,The Favourite,9
Naomie Harris,The Zone of Interest,10
Sally Hawkins,Another Year,1
Sally Hawkins,Close,2
Sally Hawkins,Eternal Sunshine of the Spotless Mind,3
Sally Hawkins,Ida,4
Sally Hawkins,Punch-Drunk Love,5
Sally Hawkins,Spirited Away,6
Sally Hawkins,"Synecdoche, New York",7
Sally Hawkins,The White Ribbon,8
Sally Hawkins,Uncle Boonmee Who Can Recall His Past Lives,9
Sally Hawkins,Unrelated,10
Amy Heckerling,Booksmart,1
Amy Heckerling,Borat,2
Amy Heckerling,Killers of the Flower Moon,3
Amy Heckerling,No Country for Old Men,4
Amy Heckerling,Once Upon a Time... in Hollywood,5
Amy Heckerling,Punch-Drunk Love,6
Amy Heckerling,Requiem for a Dream,7
Amy Heckerling,Team America: World Police,8
Amy Heckerling,The Wolf of Wall Street,9
Amy Heckerling,Tiny Furniture,10
Eugene Hernandez,Citizenfour,1
Eugene Hernandez,La danse,2
Eugene Hernandez,Moonlight,3
Eugene Hernandez,Roma,4
Eugene Hernandez,Talk to Her,5
Eugene Hernandez,The Gleaners &amp; I,6
Eugene Hernandez,The Turin Horse,7
Eugene Hernandez,The Wonders,8
